environment,metric_1,metric_2,metric_3,metric_4,ground_truth
highway,0.6335297107608947,0.26788734203737924,0.0902897700544083,0.1670604991178476,1.0
urban,0.5081987767407187,0.6958128067908819,0.4291794024068599,0.09778767156056542,1.0
weather,0.016587828927856152,0.512093058299281,0.09059831007917518,0.6451727904094499,1.0
highway,0.940523264489604,0.19878601054376116,0.5177513505274801,0.1675420211814656,0.8
urban,0.3410663510502585,0.11347352124058907,0.4623468091392814,0.26320180601429427,0.7
weather,0.22855002179729966,0.17495492709593619,0.39286733733177426,0.5166358912710143,0.0
highway,0.24185229090045168,0.046551383902949606,0.8972157579533268,0.1800836114326661,0.8
urban,0.18870710834137938,0.2788713525921819,0.35017891498638565,0.25399834267149174,1.0
weather,0.8870864242651173,0.7798755458576239,0.25681265846171514,0.08413996499504883,1.0
highway,0.7853406511139436,0.3344941273571143,0.5806866214364547,0.07445655331234861,0.0
urban,0.6635017691080558,0.005061583846218687,0.08040402570874933,0.16462013680997584,0.3
weather,0.44842414298624733,0.9944574626108207,0.07037010107093815,0.018075363615520867,0.1
highway,0.3253996981592677,0.37324570255901207,0.6496328990472147,0.1698446820988356,0.0
urban,0.3080607918523892,0.5425402305548993,0.25440703841938,0.1908997854557686,0.3
weather,0.24398964337908358,0.9730105547524456,0.15723908986670418,0.8920465551771133,0.9
highway,0.43439436551042865,0.17503920384733784,0.6451033620305648,0.13378481193261993,0.0
urban,0.1952429877980445,0.7224521152615053,0.1403861812204279,0.007294789929436152,0.0
weather,0.04360377175443375,0.994550510797341,0.1879778055963772,0.2795603417967586,0.1
highway,0.3701587002554444,0.007728308264433714,0.9283185625877254,0.08563682966346287,0.0
urban,0.5722924691708383,0.9803315837160457,0.037673128003064105,0.09170910578615456,1.0
weather,0.8511366715168569,0.31692200515627766,0.06779709867443699,0.5568012624583502,0.9
highway,0.8442131407263114,0.46500841740541593,0.0704161308495439,0.04178374352307204,0.8
urban,0.9900538501042633,0.14008401523652403,0.25916482618186837,0.26321192157838663,0.0
weather,0.8486697949246744,0.13662133144202881,0.28356439876404743,0.5528199769079077,0.1
highway,0.8093611554785136,0.4050566973395904,0.8670723185801037,0.18264811051129426,0.2
urban,0.005184862773986776,0.6278944149486361,0.09713697675602112,0.021282275099978296,0.3
weather,0.795792669436101,0.8900053418175663,0.13519806274061433,0.375582952639944,0.1
highway,0.43847412301808697,0.3360130676475997,0.32815266747473193,0.03100832334554884,0.2
urban,0.2865412521282844,0.5908332605690108,0.015250124969524714,0.011204456624764325,0.3
weather,0.3032655146732228,0.5370824271966554,0.13066049671841637,0.8278690037875887,1.0
highway,0.21582102749684318,0.31144523790950013,0.085347464993768,0.01033634423372154,1.0
urban,0.41135390505667857,0.6995122107671938,0.06917654620890068,0.039823626672890945,0.3
weather,0.5163003483011953,0.32295647294124596,0.3180744779074815,0.2708322512620742,1.0
highway,0.7440426429991154,0.1254302636733306,0.18433367433137005,0.016174593323439537,0.8
urban,0.695974206093698,0.4089529444142699,0.08664716003542289,0.046931112801325815,0.3
weather,0.23978735915740323,0.09387329008129175,0.07314639884292294,0.9346139973397097,0.0
highway,0.9548652806631941,0.36894845834788426,0.5543540525114007,0.12234414924687045,0.8
urban,0.04771612769164879,0.5660372104940763,0.07932322382124551,0.03604939434169265,0.0
weather,0.11607264050691624,0.04600264202175275,0.016291520927588055,0.8554605840110072,1.0
highway,0.17533026988933853,0.008580550915875118,0.7633644230039109,0.1613825954101559,1.0
urban,0.17320186991001518,0.43385164923797304,0.19925236719868672,0.18475502941566493,0.0
weather,0.8866803872980475,0.26089362334171395,0.0061218161161539,0.933436308079483,1.0
highway,0.8564898411883223,0.3293468158094725,0.1629344270814297,0.01411374948008597,0.8
urban,0.9442515971251674,0.8671989335550038,0.31820179872300564,0.2402847884047199,1.0
weather,0.3881699262065219,0.6432882184423532,0.18330115619660667,0.5456167893159349,0.0
highway,0.6259396701015728,0.41021342188563403,0.651484771857788,0.04133687197534908,0.0
urban,0.06936130087516545,0.10077800137742665,0.009110912825774864,0.028332888226778517,0.7
weather,0.3365542148887265,0.6557226353807422,0.15415864838622603,0.6816136689727897,0.1
highway,0.8144684825889358,0.14092738738669996,0.11816482762165625,0.13934743307283012,0.0
urban,0.9366481518557073,0.039186326675646255,0.20897301585778938,0.2902741654560742,1.0
weather,0.17743954377972282,0.7506147516408583,0.32273389570690564,0.9905051420006733,1.0
highway,0.1276897294224656,0.12500822460805233,0.5805440123439098,0.17342332144194442,1.0
urban,0.8584127518430118,0.42899402737501835,0.3754355338957487,0.2263628622254047,0.0
weather,0.37772888617629485,0.5343274735305634,0.1986244762732311,0.38961808621920346,0.0
highway,0.8955232284962005,0.19460083936708156,0.01083765148029836,0.18107639528385275,1.0
urban,0.3549051904627206,0.9568008851264563,0.33838495221215165,0.14475628489279274,0.3
weather,0.6318372121697993,0.44844552197831977,0.11728430867922582,0.32866454536991596,0.9
highway,0.21272789502422895,0.4730972714408451,0.7812960504712025,0.022692920403489605,0.0
urban,0.49442030470258147,0.057558760016644284,0.27476444116186777,0.1324591504120131,0.7
weather,0.5459157701649889,0.7058314838786945,0.38746077758965397,0.6880300101750391,0.1
highway,0.6182180633162611,0.05056133806139512,0.08410680611499743,0.140193826291824,0.2
urban,0.39665160195425186,0.8918969087767766,0.07330241084601274,0.15399785060771787,0.3
weather,0.9866395785011755,0.3742707957561203,0.14825685882675638,0.8127995672575026,0.9
highway,0.9076937063485463,0.29594436941064217,0.35021824670031354,0.14163623911663997,0.8
urban,0.7771469159274368,0.558404249735805,0.21211100462348814,0.27190631552842076,0.7
weather,0.43445184448827134,0.25368217387313874,0.16208083471256685,0.5714730252050106,1.0
highway,0.11881791626807192,0.05876312338855244,0.6492103021160636,0.14920897585308465,0.0
urban,0.23750647129246993,0.40022289287202484,0.23885744544011384,0.024867396508006265,0.0
weather,0.22359583851945264,0.9632225394406113,0.004861789875926537,0.969878826707639,0.0
highway,0.32268638827758367,0.02170039164908638,0.924643330223596,0.18382314305573189,1.0
urban,0.5538542844013208,0.969302535619099,0.2615489220850744,0.18881959144057875,0.3
weather,0.29449394683942987,0.9958313750293707,0.27877002234552595,0.3842018313792199,0.9
highway,0.04544638034145787,0.14048159479611516,0.9504114840765587,0.17805275677818327,1.0
urban,0.10675606593588438,0.3356600647969632,0.08483995194778277,0.19405450850061715,1.0
weather,0.3533522280260528,0.5836561118508721,0.031093854785993937,0.9743948076661665,1.0
highway,0.45324084682883103,0.016157975554825232,0.2797635071689457,0.08224134417443725,0.0
urban,0.6847311725538793,0.1626169393448913,0.45546359224692123,0.24676117287695068,0.3
weather,0.4166390577384792,0.5811626211808263,0.36767062073422385,0.08274842003530614,0.1
highway,0.8660638895004084,0.022609335053094703,0.026366974497252005,0.07529267337560992,0.0
urban,0.48037008186635466,0.9852860506655043,0.18836948496897038,0.2248734899928216,0.0
weather,0.9699143978146032,0.8421189231357087,0.33533148188445516,0.4686931597949703,0.9
highway,0.1338521188006332,0.0068359824134986424,0.07535906035246231,0.1383428794337824,0.0
urban,0.9997176732861306,0.9966368370739054,0.2777158528013137,0.23069622455415315,0.0
weather,0.7570812020424559,0.37785054927578643,0.09643393293185275,0.2050453285065249,0.0
highway,0.9540510272587224,0.30308731722544,0.22864280550346272,0.13434013688117136,1.0
urban,0.04689646779121992,0.26867248202530736,0.011092371015150815,0.14944955599376789,0.3
weather,0.7723183917356393,0.5201635011119934,0.34087260012741605,0.5519068387744855,0.0
highway,0.08840822336564658,0.39590891973481646,0.5899558971376361,0.09600919340369503,0.8
urban,0.755137255673619,0.6203095513534647,0.3520398840496118,0.06388924845267321,0.3
weather,0.617263712097292,0.9804627250923779,0.2432351398167541,0.6366443216222826,0.9
highway,0.43747492202372906,0.4520793472468742,0.34825546702330035,0.10279789783196217,1.0
urban,0.910471278403273,0.29795945154195047,0.2618011380075056,0.209292561448039,0.0
weather,0.14707348092903794,0.9265876251614944,0.1968465172318153,0.25824438829895835,1.0
highway,0.04586126640463295,0.31040284221104564,0.3474134082254142,0.04182615821570284,0.8
urban,0.24014561877819307,0.07586332810866392,0.06443986095532461,0.03841375168733173,0.7
weather,0.40030048891028136,0.6976675736969318,0.07202690893971941,0.696501466227079,0.0
highway,0.8967884099060118,0.23698082013143618,0.6675577385210272,0.03446397424032597,0.2
urban,0.2238490659063206,0.8217906368444492,0.17254131391119337,0.10428576434480505,0.3
weather,0.08870253375705561,0.12063587110060081,0.1843115072130903,0.2063337184057925,0.1
highway,0.1287483982996439,0.1650497566550777,0.321582764680029,0.01845811724574922,0.8
urban,0.6279003894909078,0.08175903194887191,0.4367893120533886,0.2762617201595439,0.0
weather,0.0025950243836465603,0.8683011070355868,0.033806803072272774,0.5972780822554306,1.0
highway,0.2093493233367103,0.185236051395691,0.4845229851910213,0.1236509543060592,0.8
urban,0.531265753973534,0.7205160613914648,0.031170681255620725,0.04432172757186801,0.7
weather,0.7133495858845524,0.8952068376871993,0.20467097684626645,0.5321134852653157,0.0
highway,0.8672149810747233,0.17707333539656273,0.3971638325040825,0.020973833306496183,0.8
urban,0.37728416310462265,0.02007119777772637,0.16103958279158914,0.0634344020989634,0.3
weather,0.5353355640155235,0.23321641154980122,0.1371707457113041,0.47396994143055615,0.1
highway,0.7891712386073383,0.24922109946452864,0.08692028808742369,0.10742130836370956,0.2
urban,0.5577422659504374,0.5865354346607591,0.28222927126132064,0.1136317877853868,0.0
weather,0.3630822963986351,0.6459172413316012,0.22831132186756475,0.35609672589784624,0.0
highway,0.330348481280914,0.4668459118799373,0.00753436313407474,0.04506655954250565,0.2
urban,0.24595772838450813,0.16068137325955567,0.09328351202565288,0.08552855060815413,0.7
weather,0.05565348935697534,0.8423140352981816,0.020654191149805136,0.018242481428361046,0.0
highway,0.9823786169086064,0.05601945108402617,0.39785559904574164,0.1938940866550738,1.0
urban,0.005300006397605417,0.9750671629451425,0.24537438962939223,0.2168688289865327,0.3
weather,0.9293759891275858,0.5567628930139298,0.22864507578795995,0.2799790936602842,1.0
highway,0.2050775601494591,0.4839970332521171,0.7109524788367483,0.039901385467663954,1.0
urban,0.24240973241508024,0.11483682473920354,0.3053100212208163,0.08658916597207673,0.0
weather,0.506103956359347,0.9320143422569341,0.1282568768638057,0.5938830975578988,0.1
highway,0.3366042781939206,0.06720733846948712,0.06337497047276774,0.19799204647798907,0.0
urban,0.6845715478798333,0.08786811124265681,0.06941238672101019,0.0008132698242989011,0.0
weather,0.5956387406078443,0.47157618855015837,0.16473636565890742,0.3488682665429953,0.0
highway,0.8507274600164547,0.37298726277435906,0.4085182929359169,0.18658761341999094,0.8
urban,0.9383404568210378,0.18123306616566015,0.03324813368338875,0.22233619478701772,0.3
weather,0.04809464396408769,0.7815144817514149,0.3311763548709968,0.7505019247653135,1.0
highway,0.1636559428657045,0.08213289896549647,0.8145747202313821,0.13303944413924004,0.2
urban,0.907866130462516,0.3161965822964946,0.29415333789752834,0.20489461902513972,1.0
weather,0.4391349085702184,0.3769444294249076,0.18507191426784259,0.3013778741641421,0.9
highway,0.43874467538833906,0.28874313545306285,0.3553624518183959,0.07829642204030039,0.2
urban,0.5435528611139886,0.9064721109645469,0.31211899795699605,0.03506941221250922,0.3
weather,0.3328157859124843,0.7305491368093014,0.27748704296133536,0.16673075999338316,0.9
highway,0.6200727559285135,0.26673054598816076,0.8938925830509576,0.15771944224490617,0.2
urban,0.7524031200388227,0.706980461243459,0.38928596952537553,0.042938395664540885,1.0
weather,0.5698896848713165,0.7624586857406905,0.3507062547046998,0.34208174871590746,0.1
highway,0.5364813514845947,0.18941078277845785,0.45700021928167833,0.1207915744145025,0.8
urban,0.7972953657795536,0.14991742734877378,0.11462569761632074,0.2166757705179199,0.3
weather,0.012203072318044517,0.598442701205227,0.22620333892918953,0.7161790747329522,0.9
highway,0.34569599350391944,0.09079885840071283,0.9084505613336283,0.11667835895322409,1.0
urban,0.4235968624204829,0.2879296164757261,0.3074751315763272,0.2735557226528894,1.0
weather,0.505888678884466,0.6114542354346478,0.007244073528336204,0.8721239089441515,1.0
highway,0.10221266422519959,0.45937526113037325,0.7900846371240867,0.004604520957527503,0.8
urban,0.15253904291426135,0.5762883601668132,0.30335752319142795,0.1272392013907158,0.0
weather,0.1042469660518095,0.8404396319804229,0.36427447930228524,0.1228107818457338,0.0
highway,0.9848411989623346,0.41944904322296706,0.12466268120326685,0.18416837652347448,0.8
urban,0.3114442640456412,0.22739562087711263,0.30394719689712935,0.11379170951566464,0.0
weather,0.3351972416459009,0.8028534485980114,0.0018528092018411436,0.3334991716911442,0.9
highway,0.4145045842036277,0.4317590703064785,0.9229602317984849,0.09314002446376264,0.8
urban,0.7375012481097484,0.45221794088980716,0.11230241146999098,0.135731854839808,0.7
weather,0.2482264427571519,0.5776319540915472,0.06620532697118953,0.033879160246594986,0.0
highway,0.3623938991166331,0.2902941751390217,0.6322642879195304,0.0026188913176667275,0.0
urban,0.5151736824068126,0.9755413156827563,0.22949449400850652,0.16719161066701435,0.3
weather,0.08534966807864386,0.9968742518459474,0.20087800413249704,0.5953850173200438,0.0
highway,0.3973181154575979,0.2133944526683747,0.7997820220742694,0.06987739980986661,0.2
urban,0.19068772066366657,0.03654966784809488,0.23603347255499962,0.16945233997878492,0.3
weather,0.29404467922097155,0.7140591997898282,0.21105909205791434,0.5344558912572469,0.0
highway,0.400763060875326,0.27982016565410894,0.1552402459307125,0.03638562609905423,0.0
urban,0.07550336380388922,0.7532462207474508,0.13615092736014972,0.26922912294566526,0.3
weather,0.4087341710980964,0.02538635566034486,0.062461038946476144,0.7159722288473975,0.0
highway,0.4079844953648447,0.2758612976296699,0.2538885640433043,0.03922261993869056,0.8
urban,0.019710537754364155,0.10410858198457384,0.3999580426865947,0.053563398616300086,0.0
weather,0.5567215847833661,0.7208130963105066,0.3221259869431621,0.9887287819554428,1.0
highway,0.8556964681062857,0.4151099322834958,0.3971835296184548,0.13361702731412925,0.0
urban,0.406392308273522,0.3239900611067996,0.04346250747517466,0.18997223247328815,0.0
weather,0.20788625514602732,0.026532203873819715,0.07257417403591893,0.5830415609696922,1.0
highway,0.7039461351385095,0.45531200177015196,0.6247612710432511,0.06717317142996702,0.8
urban,0.3796924081672669,0.5902949425148077,0.13403182041143813,0.1872446723547402,0.3
weather,0.7738345232013403,0.36275789466594544,0.3444272079898887,0.2195105250809587,0.1
highway,0.7636057941597608,0.07005658788322627,0.8684679758979128,0.09748623964990273,0.2
urban,0.4710654526938144,0.18210713882158325,0.24238918357517308,0.15373729676457648,0.0
weather,0.5416342146608669,0.6334782198261473,0.10315507417328092,0.13935607407282413,0.9
highway,0.4217039345532818,0.0661381055626652,0.9005723012363857,0.1382443715219309,0.0
urban,0.018390676547466733,0.914298806560499,0.05887554144507057,0.17295494265427605,0.3
weather,0.06717539991571009,0.40524808802768875,0.19898595759195625,0.7202025816322958,0.0
highway,0.010995828658480478,0.06844281503440364,0.9000186418481051,0.17477801551250305,1.0
urban,0.25073066056159776,0.6330980633574476,0.2471369250691357,0.17198831345382018,0.0
weather,0.4187705248920731,0.38313852824949746,0.20756708211313502,0.046965966775055046,1.0
highway,0.9586271773132206,0.0921854603394816,0.09033696057760787,0.1541971851070957,0.0
urban,0.38929561404197655,0.28869373677069987,0.17783635823247457,0.21571377155527363,0.7
weather,0.6104046670079576,0.9493067970577657,0.1586597492208217,0.9540869365396331,0.1
highway,0.7325720972102503,0.10747018929537838,0.031183135061284672,0.05245280885996502,0.8
urban,0.8415296603100434,0.8464078493145573,0.4776181563617395,0.046401642264970865,0.0
weather,0.7709122037458219,0.1065982531337718,0.030055112694323507,0.7281887562036033,0.0
highway,0.704925549688953,0.2991430291340773,0.4596815127611311,0.015186682073924419,0.2
urban,0.7994158789689793,0.6946964708544268,0.13607256861498135,0.17706920006072613,0.7
weather,0.3145965568094109,0.8074302518167612,0.3848395143056471,0.7900135587918561,0.0
highway,0.44600577295795574,0.09256646441930982,0.5419009473783581,0.17458916717528167,1.0
urban,0.6389493853342618,0.7590358455388498,0.3620516646365693,0.19116947393684605,1.0
weather,0.24966800885918594,0.4894249636431405,0.0884837767278409,0.987668007996647,0.0
highway,0.6699174645500392,0.022082718855050087,0.588263756969931,0.19987069991316697,0.2
urban,0.5679452305526295,0.9154882975880418,0.01697298929289942,0.20922608017405198,0.0
weather,0.19259902778563043,0.11528202124728437,0.16870506389220502,0.7953418379590974,0.9
highway,0.8620426509893134,0.4222746992675352,0.31910047324325563,0.16578309483013548,0.0
urban,0.6501673504432282,0.36469724945730586,0.280338597001757,0.14431856515322591,0.7
weather,0.6962887758781398,0.33987496376806614,0.2899067086115046,0.06535634079894237,0.9
highway,0.8039769794008976,0.2692007451903938,0.6616551750805415,0.147571153381305,0.0
urban,0.8859777482361871,0.6158631881823046,0.11647973737681688,0.007320234466961405,0.3
weather,0.9903413133417771,0.0002375235758845795,0.07418916383068899,0.38396388991972574,1.0
highway,0.7987832357736654,0.49896705526666874,0.35071181545171015,0.1534376577862254,0.0
urban,0.03759677320626087,0.47978132685650476,0.29037860361366385,0.08150609132070122,0.0
weather,0.7682734138645182,0.41776678216733376,0.16854280091082807,0.7375823015888915,0.1
highway,0.003346362042979223,0.2336553832688263,0.2970028764548822,0.1705643643383803,0.2
urban,0.23360775104990994,0.04209318963636188,0.008936967366706905,0.29631671692080946,0.0
weather,0.10946759867911515,0.39163014054035605,0.04977502291874254,0.956415697559425,0.0
highway,0.786345014415552,0.04470550115612976,0.41758077578492836,0.17582366151243295,0.2
urban,0.600798446442198,0.9037239671752705,0.49459245490667947,0.22300584686808725,1.0
weather,0.2316717013834434,0.9427317741351257,0.2598586595969474,0.6077367948788591,0.0
highway,0.12033876203499594,0.023472678573906502,0.38409061149124957,0.007346387485322726,0.2
urban,0.7795844735667533,0.3501252591667301,0.028921338281698183,0.29073078904224336,0.0
weather,0.5182603666763922,0.597274072430341,0.2100126003441073,0.2602333679515273,0.9
highway,0.7582384757040913,0.3480103090268961,0.15389590633985506,0.16316662499812357,0.2
urban,0.6229373829351187,0.7478716040922285,0.017432580116912455,0.26847643236835195,0.0
weather,0.09148683739775487,0.8774608626303804,0.10624001703548243,0.12951492128280417,0.0
highway,0.04437666353323677,0.4260967666735039,0.03542236841854507,0.0658102730739742,0.0
urban,0.5508573706091393,0.08698675991141014,0.20422660653534935,0.1118065551036942,1.0
weather,0.6957142928497502,0.04878358167317309,0.21304100776030485,0.9621219725920498,1.0
highway,0.6832587636595959,0.03806542974515009,0.8512069140487687,0.09902930540279486,1.0
urban,0.5160790204436166,0.90651371944458,0.28565947095978705,0.1986336030319694,1.0
weather,0.5657319639957911,0.2670282701694213,0.3514519945420632,0.7974260216069281,1.0
highway,0.24528553225533456,0.07867032985126299,0.1604001053300721,0.06680177574904758,0.0
urban,0.6974714616692836,0.6801407717603004,0.30930568910759215,0.22581499186729237,0.7
weather,0.8816371327703502,0.9613152881849074,0.18618800350799344,0.8790714802281316,0.1
highway,0.1288698674734452,0.16755942712957095,0.7435082562916078,0.03215197920966164,1.0
urban,0.556181735039757,0.7566358037849347,0.129344165348954,0.05793985937618792,0.0
weather,0.6169269183757422,0.9811861780274235,0.2527254108066674,0.2598035810641598,1.0
highway,0.009072404652724964,0.4093397102499209,0.12844871809319136,0.05666858965311632,0.8
urban,0.5412665786761103,0.9629920038589946,0.17093608301934304,0.18978656794018442,0.3
weather,0.7536988340505192,0.7888069818707443,0.06950139012302672,0.7708541085409898,1.0
highway,0.30096356694681625,0.3540860443226408,0.0673506014687717,0.11643409203525466,0.0
urban,0.05792046055879829,0.07469441775785401,0.42620732959932384,0.2970445118251941,0.7
weather,0.9688778552856915,0.7496518317429247,0.05203449605225279,0.7582631959290226,0.9
highway,0.06562614457401295,0.4107564737037205,0.3718335292387246,0.16375712867141876,0.8
urban,0.6832953766065052,0.44590270637674834,0.13681333314083294,0.29913735004731334,0.0
weather,0.10219361969371898,0.854209774461566,0.21080963848474485,0.8259207657998966,0.9
highway,0.2207696127887604,0.04119052280792135,0.6804993020747131,0.13090224285622706,0.8
urban,0.8680543225322929,0.9632366534401319,0.01565115687375812,0.21938102009210567,0.7
weather,0.4197273169261223,0.6385259476640855,0.15903775918511773,0.27421520234867003,0.9
highway,0.31195199049513045,0.16037137021906372,0.724422672614117,0.14916740240619286,0.8
urban,0.03113408288451136,0.651666825375885,0.18426317186188057,0.2593074749518911,1.0
weather,0.5432328057899581,0.15924573827926447,0.08148049971050969,0.09116449040619168,1.0
highway,0.770921844644052,0.42239161405844383,0.7610239909429989,0.12524406432628307,1.0
urban,0.2941679733434779,0.9118360349599111,0.48375563180688885,0.0556376624029963,0.7
weather,0.4815223515125501,0.11730818896239448,0.05007431688102018,0.6855652872289714,1.0
highway,0.5584126725831979,0.11277007122186772,0.16082546907819006,0.13030389336045295,0.0
urban,0.26899340443509767,0.7975591006371882,0.15518097946178688,0.13656604472454034,1.0
weather,0.46459859663581016,0.6804566263593252,0.1582180335519875,0.9746998518706899,0.1
highway,0.29166257870930323,0.3474909430632713,0.8601223971892046,0.15597019777866997,1.0
urban,0.7242853081264119,0.7491616391012831,0.07296103701757273,0.030837721347799704,0.3
weather,0.14249554290151323,0.49888815345135606,0.24726229372724765,0.702464970544104,0.1
highway,0.7758047357929561,0.47061875211619325,0.0724162721463415,0.10684844119528902,0.0
urban,0.35062693120918076,0.033203108791366565,0.03928924857751037,0.11907698286047881,0.3
weather,0.9774663863147858,0.20085908986229417,0.2772775763290724,0.8214407280098664,0.1
highway,0.16748258225906976,0.052283920167200126,0.6364302495436367,0.14129514529738024,0.2
urban,0.5947766373769361,0.616604581862474,0.30647208743280296,0.08965076590119415,1.0
weather,0.8709691237460856,0.7140869321324278,0.32069123322791676,0.33945019254280606,0.9
highway,0.4843984475740406,0.33041005914962535,0.5530014525919584,0.11949517252638603,0.2
urban,0.45231828451830014,0.643577695196525,0.2632013304680566,0.21947685652659957,0.7
weather,0.7248265598740583,0.5932786483101787,0.26011767434938154,0.4792789285762873,0.9
highway,0.21921398735804432,0.48793262790956565,0.33689579177110685,0.03642358313773986,0.8
urban,0.4336553339563889,0.04366165770736119,0.08083627207340133,0.00625834178746143,0.7
weather,0.22845474133129873,0.9963339160567419,0.38991726485871325,0.6503256863469369,0.1
highway,0.4032613611238318,0.11028056246116164,0.4183997886676527,0.04071565606844854,0.8
urban,0.4626229567393163,0.8682725054083805,0.363584534883154,0.22281195635999432,1.0
weather,0.6287648182059451,0.7353502986657526,0.3070895552267121,0.5048448818930178,0.1
highway,0.8670314961224486,0.2893377042861967,0.43861541918959046,0.14505153208302732,1.0
urban,0.6061887135611715,0.5977235652558643,0.3964780473028158,0.19650280164963255,0.7
weather,0.5923503285933622,0.912363345616691,0.08426487560226664,0.6229665835634828,1.0
highway,0.8359980637812094,0.11789604697960493,0.7760002070354295,0.08106203661714868,0.2
urban,0.17968310887024197,0.23754332492387764,0.4856975470208198,0.054293085812846927,0.0
weather,0.06913278618661944,0.43716538881682654,0.03895735702142087,0.4050207990803215,0.1
highway,0.5148173539296902,0.17961668469988284,0.5929508514349274,0.032704774517004556,0.8
urban,0.3121480566964471,0.3990459461371111,0.4289931269613529,0.0027091212388650754,0.0
weather,0.7734731256866006,0.13087366071834983,0.3879284180314179,0.45378954138363925,0.9
highway,0.8837096696607526,0.22101218689142876,0.33088936298917193,0.08975551476628062,1.0
urban,0.8288833658826095,0.43088752366180594,0.12435713629381495,0.18514349598120902,0.0
weather,0.25252778207541926,0.35925074791624556,0.15174343596896953,0.6055381576448828,0.9
highway,0.6638045276218051,0.23731543787490694,0.8441704489691971,0.16113403059001064,1.0
urban,0.8642161776741689,0.5581402495938629,0.26995291975110625,0.010256329781747453,0.3
weather,0.05708685608931485,0.531169528001032,0.37464227691798463,0.03934354066850965,0.9
highway,0.22470117697268,0.09000521873636175,0.08855558422324139,0.020661791424803136,0.8
urban,0.0415728590503921,0.14834320096208886,0.49331506147942344,0.28953560893081365,0.7
weather,0.017379790185479638,0.32313065707027855,0.3892390992281386,0.580112229695468,1.0
highway,0.5155960285792502,0.2444232901284601,0.6668642575461043,0.027930250951262583,1.0
urban,0.13271465381927738,0.14354236203939286,0.46990989596342086,0.21986967550240252,1.0
weather,0.9699120461072704,0.09390071578941839,0.2690408472900505,0.44375021930457115,0.0
highway,0.963346832820399,0.12765326236421592,0.6616323503711468,0.19572625748010608,0.8
urban,0.6832480282896458,0.4971747640084273,0.3089236201006069,0.26067149534361544,1.0
weather,0.7685193645237912,0.11310981907657303,0.3182041486785613,0.9186777969935043,0.0
highway,0.21567515239771717,0.3294427351163286,0.3938644056541585,0.13024659540829842,0.2
